id,book_id,member_id,copy_code,loan_date,date_returned,status
,3739,14,393MAR17AM,10/2/2018,10/9/2018,1
,4930,14,187agu17ah,10/2/2018,10/9/2018,1
,11542,14,MRT0403,9/14/2018,9/21/2018,1
,15228,14,BRC1179,2/26/2019,3/5/2019,1
,16613,14,MEI4591,9/14/2018,9/21/2018,1
,17474,14,Z000507,2/26/2019,3/5/2019,1
,18,15,133PB19M,10/25/2019,11/1/2019,1
,18,15,J16.974,11/1/2019,11/8/2019,1
,18,15,85PBA19H,10/25/2019,11/8/2019,1
,30,15,OKT001147,9/10/2018,9/17/2018,1
,2115,15,A3102,11/4/2019,11/11/2019,1
,4568,15,A163PB19M,11/1/2019,11/8/2019,1
,4568,15,A16.706,11/11/2019,11/18/2019,1
,4826,15,162HDF19,11/11/2019,11/18/2019,1
,4855,15,216HD19M,9/12/2019,9/25/2019,1
,4855,15,216HD19M,10/21/2019,10/28/2019,1
,4855,15,511FEB17AH,11/4/2019,11/11/2019,1
,10328,15,OKT004962,11/11/2019,11/18/2019,1
,12062,15,127PBM19H,10/15/2019,10/22/2019,1
,12062,15,128PBM19H,10/21/2019,11/4/2019,1
,14467,15,1AB3470,9/12/2018,9/19/2018,1
,14787,15,MEI2553,9/21/2018,9/28/2018,1
,14787,15,MEI2553,10/5/2018,10/12/2018,1
,14787,15,MEI2553,4/11/2019,4/18/2019,1
,15105,15,JU.285,11/4/2019,11/11/2019,1
,15163,15,446NOVAH,4/11/2019,4/18/2019,1
,15163,15,446NOVAH,9/12/2019,9/25/2019,1
,15163,15,446NOVAH,10/9/2019,10/16/2019,1
,15163,15,F16.098,10/21/2019,10/28/2019,1
,18824,15,72PBA19H,10/15/2019,10/22/2019,1
,27994,15,D15.957,9/21/2018,9/28/2018,1
,27994,15,D15.957,10/5/2018,10/12/2018,1
,27994,15,OKT002266,4/11/2019,4/18/2019,1
,27994,15,MEI3356,9/12/2019,9/25/2019,1
,27994,15,OKT002266,10/9/2019,10/16/2019,1
,3263,16,305PEB17AS,11/14/2018,11/22/2018,1
,13872,16,OKT004232,11/22/2018,11/29/2018,1
,22,17,A2386,12/22/2017,12/29/2017,1
,5142,17,CBA5186,12/22/2017,12/29/2017,1
,5142,17,CBA5186,1/8/2018,1/23/2018,1
,7725,17,J16.667,12/22/2017,12/29/2017,1
,8258,17,056mar17as,1/8/2018,1/23/2018,1
,10612,17,BRC1235,12/22/2017,12/29/2017,1
,14003,17,MEI4030,12/22/2017,12/29/2017,1
,14003,17,MEI4030,1/8/2018,1/23/2018,1
,15523,17,OKT001847,1/8/2018,1/23/2018,1
,15623,17,Z002499,1/8/2018,1/23/2018,1
,24,18,515MAR17AH,12/17/2018,12/24/2018,1
,455,18,B023480,12/27/2018,1/9/2019,1
,455,18,B023480,1/12/2019,1/21/2019,1
,2504,18,OKT002604,11/7/2016,11/14/2016,1
,2939,18,OKT000091,12/14/2016,12/21/2016,1
,3184,18,MRT0466,12/27/2018,1/9/2019,1
,3184,18,MRT0466,1/12/2019,1/21/2019,1
,3656,18,MEI2401,12/5/2016,12/14/2016,1
,3727,18,M16.916,12/17/2018,12/24/2018,1
,4105,18,N15.193,12/19/2018,12/26/2018,1
,5954,18,D15.568,9/5/2019,9/12/2019,1
,6509,18,D15.467,12/5/2016,12/14/2016,1
,6943,18,N15.218,9/15/2016,9/22/2016,1
,6956,18,OKT002212,12/14/2016,12/21/2016,1
,7888,18,z000603,12/19/2018,12/26/2018,1
,10694,18,044AGU17AS,12/27/2018,1/9/2019,1
,10694,18,044AGU17AS,1/12/2019,1/21/2019,1
,11429,18,MEI5000,9/15/2016,9/22/2016,1
,12897,18,F16.027,12/17/2018,12/24/2018,1
,16959,18,198MAR17AM,9/5/2019,9/12/2019,1
,17610,18,Z004342,9/15/2016,9/22/2016,1
,18322,18,Z002568,12/19/2018,12/26/2018,1
,19972,18,MEI.399,11/27/2018,11/29/2018,1
,27024,18,OKT004759,12/5/2016,12/14/2016,1
,3029,19,OKT001367,9/29/2016,10/6/2016,1
,3531,19,F16.773,9/29/2016,10/6/2016,1
,3690,19,MRT0523,1/10/2018,1/17/2018,1
,4068,19,N15.940,2/25/2016,3/10/2016,1
,4568,19,mei3136,3/28/2016,4/4/2016,1
,4568,19,OKT003119,3/14/2016,3/21/2016,1
,4756,19,d15.035,4/4/2016,4/11/2016,1
,4756,19,N15.060,3/14/2016,3/28/2016,1
,13479,19,1AB3144,1/10/2018,1/17/2018,1
,16108,19,OKT004308,3/17/2017,3/24/2017,1
,20644,19,MRT0655,3/14/2016,3/21/2016,1
,27693,19,OKT004166,3/3/2016,3/10/2016,1
,4035,20,MEI2957,2/29/2016,3/14/2016,1
,4035,20,Z001097,4/8/2016,4/22/2016,1
,4035,20,OKT004941,4/26/2016,5/3/2016,1
,4035,20,MEI2957,5/25/2016,6/1/2016,1
,4996,20,M16.781,10/10/2017,10/17/2017,1
,6676,20,J16.553,11/21/2016,11/28/2016,1
,6912,20,J16.298,4/26/2016,5/3/2016,1
,10000,20,OKT001102,10/16/2017,10/23/2017,1
,12710,20,OKT000712,10/10/2017,10/17/2017,1
,13539,20,MEI3900,9/13/2016,9/27/2016,1
,13539,20,MEI3900,10/5/2016,10/20/2016,1
,14106,20,D15.897,10/10/2017,10/17/2017,1
,15288,20,A16.947,10/10/2017,10/17/2017,1
,15413,20,1AB1438,10/24/2016,10/31/2016,1
,15516,20,OKT000778,3/16/2016,3/31/2016,1
,15592,20,1AB0524,10/25/2016,11/1/2016,1
,15598,20,NO17047,10/16/2017,10/23/2017,1
,16089,20,OKT003594,10/16/2017,10/23/2017,1
,16782,20,3018,10/10/2017,10/17/2017,1
,17836,20,Z006582,10/24/2016,10/31/2016,1
,24924,20,B023974  ,11/21/2016,11/28/2016,1
,24928,20,B023985  ,11/21/2016,11/28/2016,1
,25493,20,OKT001836,9/13/2016,9/27/2016,1
,25573,20,OKT001761,9/13/2016,9/27/2016,1
,19979,21,D15.250,3/28/2019,4/4/2019,1
,3834,22,JU.041,1/29/2019,2/6/2019,1
,8068,22,M16.218,1/29/2019,2/6/2019,1
,8199,22,OKT004702,9/5/2018,9/12/2018,1
,13872,22,OKT004232,9/12/2018,9/19/2018,1
,20567,22,MRT1396,9/5/2018,9/12/2018,1
,1123,23,A3881,11/13/2017,11/27/2017,1
,6825,23,128JAN17AS,11/20/2017,12/5/2017,1
,13155,23,J16.810,11/13/2017,11/27/2017,1
,13220,23,OKT001158,3/7/2017,3/23/2017,1
,13834,23,A3748,11/13/2017,11/27/2017,1
,15500,23,CBA4306,3/7/2017,3/23/2017,1
,15549,23,CBA4841,3/7/2017,3/23/2017,1
,26229,23,OKT003101,11/20/2017,12/5/2017,1
,99,24,A0121,2/7/2017,2/23/2017,1
,99,24,MEI2880,3/20/2017,4/3/2017,1
,1625,24,Z004761,6/2/2017,6/9/2017,1
,3543,24,MRT1778,9/16/2016,9/23/2016,1
,3543,24,MRT1778,11/21/2016,11/28/2016,1
,3543,24,MRT1778,12/14/2016,12/21/2016,1
,3543,24,MRT1778,10/3/2017,10/10/2017,1
,3543,24,CBA6661,10/17/2017,10/31/2017,1
,3543,24,CBA6661,11/15/2017,11/22/2017,1
,3543,24,CBA6661,12/27/2017,1/3/2018,1
,3543,24,CBA6661,6/20/2019,6/27/2019,1
,3543,24,CBA6640,11/11/2019,11/18/2019,0
,3543,24,182SEP17AH,3/12/2019,3/26/2019,1
,3543,24,182SEP17AH,6/20/2019,7/4/2019,1
,3543,24,182SEP17AH,8/26/2019,9/10/2019,1
,3543,24,182SEP17AH,9/20/2019,9/27/2019,1
,3851,24,A16.075,4/13/2017,4/20/2017,1
,4254,24,OKT000663,2/17/2016,3/2/2016,1
,4342,24,118OKT17AH,3/29/2019,4/5/2019,1
,7295,24,151HDM19,11/6/2019,11/18/2019,0
,7737,24,N15.743,10/11/2016,10/25/2016,1
,7737,24,D15.898,12/6/2016,12/13/2016,1
,10198,24,OKT001760,6/13/2016,6/28/2016,1
,10244,24,M16.191,4/25/2017,5/2/2017,1
,10313,24,A16.263,3/29/2019,4/5/2019,1
,10492,24,MRT1219,11/7/2016,11/21/2016,1
,11808,24,OKT003671,2/24/2016,3/2/2016,1
,11808,24,OKT003671,3/3/2016,3/10/2016,1
,11844,24,M16.162,4/27/2017,5/4/2017,1
,12114,24,MRT1014,5/5/2017,5/22/2017,1
,12125,24,MRT0608,1/5/2017,1/12/2017,1
,14177,24,CBA6646,10/3/2016,10/18/2016,1
,14177,24,CBA6672,11/7/2016,11/21/2016,1
,14177,24,A16.873,11/21/2016,11/28/2016,1
,14177,24,A16.873,11/29/2016,12/13/2016,1
,14177,24,CBA6672,11/29/2016,12/13/2016,1
,14177,24,CBA6646,2/7/2017,2/23/2017,1
,14177,24,CBA6646,6/15/2017,7/3/2017,1
,14177,24,CBA6646,9/12/2017,9/26/2017,1
,14177,24,CBA6646,11/29/2017,12/15/2017,1
,14177,24,A16.215,12/27/2017,1/3/2018,1
,14177,24,M16.881,5/3/2019,5/10/2019,1
,14177,24,CBA6632,8/26/2019,9/2/2019,1
,14177,24,A16.215,9/20/2019,9/27/2019,1
,14182,24,CBA5485,10/31/2016,11/7/2016,1
,14271,24,MRT0671,1/10/2017,1/27/2017,1
,14854,24,Z000864,3/6/2017,3/21/2017,1
,14874,24,1AB2653,12/14/2016,12/21/2016,1
,15057,24,N15.869,4/25/2017,5/2/2017,1
,15077,24,OKT003894,2/17/2016,2/24/2016,1
,15299,24,OKT003834,2/10/2016,2/17/2016,1
,15369,24,NO16510,3/20/2017,4/3/2017,1
,15406,24,F16.337,10/18/2016,10/25/2016,1
,15406,24,OKT001385,9/9/2016,9/23/2016,1
,17672,24,NO16445,1/5/2017,1/12/2017,1
,17840,24,MEI3015,9/9/2016,9/16/2016,1
,19325,24,CBA6450,5/5/2017,5/12/2017,1
,25759,24,1AB790,3/1/2017,3/8/2017,1
,28681,24,CBA6399,5/3/2019,5/10/2019,1
,28696,24,Z004790,11/6/2019,11/13/2019,1
,28701,24,OKT001204,6/15/2017,6/22/2017,1
,28702,24,CBA5406,1/5/2016,1/12/2016,1
,4063,25,B021160,7/19/2019,8/2/2019,1
,12230,25,D15.585,7/19/2019,8/2/2019,1
,668,26,M16.509,1/16/2019,1/30/2019,1
,2131,26,295MAR17AS,1/16/2019,1/30/2019,1
,2736,26,N15.219,9/27/2016,10/4/2016,1
,2736,26,N15.219,10/26/2016,11/2/2016,1
,4810,26,A0334,10/19/2016,10/26/2016,1
,4810,26,S021814  ,10/19/2016,10/26/2016,1
,14234,26,F16.493,9/27/2016,10/4/2016,1
,27476,26,BRC0251,1/16/2019,1/30/2019,1
,4417,27,051JUL17SL,7/13/2018,7/20/2018,1
,19978,27,OKT000750,7/13/2018,7/20/2018,1
,3768,28,240OKT17AH,6/18/2019,7/2/2019,1
,6268,28,M16.434,5/23/2019,5/31/2019,1
,6320,28,D15.21,5/23/2019,5/31/2019,1
,8834,28,J16.926,6/18/2019,7/2/2019,1
,11271,28,286JUL17AH,6/18/2019,6/25/2019,1
,13259,28,Z004246,6/18/2019,7/2/2019,1
,16912,29,Z001427,4/18/2019,4/25/2019,1
,7648,30,220PBM19H,9/2/2019,9/15/2019,1
,7648,30,218PBM19H,9/26/2019,10/9/2019,1
,7648,30,S021776,10/8/2019,10/22/2019,1
,12544,30,175PBA19H,9/2/2019,9/15/2019,1
,18820,30,A2984,9/12/2019,9/26/2019,1
,18820,30,A3051,10/8/2019,10/22/2019,1
,31,31,A4507,7/26/2018,8/2/2018,1
,363,31,A0006,8/2/2018,8/9/2018,1
,2328,31,B021478,7/26/2018,8/2/2018,1
,8788,31,MRT1579,7/26/2018,8/2/2018,1
,15994,31,191PEB17AM,8/2/2018,8/16/2018,1
,16111,31,054MAR17AM,8/2/2018,8/16/2018,1
,3445,32,S020397,11/16/2017,11/23/2017,1
,13876,32,MRT2020,11/16/2017,11/23/2017,1
,21091,33,B021704,12/18/2017,12/26/2017,0
,3877,34,003MEI17AH,6/20/2019,7/3/2019,1
,3925,35,371MAR17AS,2/15/2019,2/22/2019,1
,5192,35,350MAR17AH,2/25/2019,3/4/2019,1
,5260,35,255APR17AH,2/15/2019,2/22/2019,1
,6027,35,118NOVAS,10/9/2018,10/16/2018,1
,6076,35,MRT0836,10/9/2018,10/16/2018,1
,7041,35,M16.320,10/9/2018,10/16/2018,1
,8679,35,MRT1485,10/16/2018,10/30/2018,1
,8936,35,MRT0520,10/2/2018,10/9/2018,1
,9593,35,422AGU17AS,10/2/2018,10/9/2018,1
,9593,35,MEI5125,10/2/2018,10/9/2018,1
,12367,35,F16.567,10/2/2018,10/9/2018,1
,14995,35,MRT1802,10/16/2018,10/30/2018,1
,17519,35,220jan17ah,10/16/2018,10/30/2018,1
,19182,35,MRT1619,10/16/2018,10/30/2018,1
,28281,35,OKT001877,2/15/2019,2/22/2019,1
,41,36,b021318  ,3/8/2017,3/15/2017,1
,41,36,OKT001050,2/8/2017,2/15/2017,1
,2036,36,MEI2430,2/8/2017,2/15/2017,1
,2373,36,A4285,3/6/2017,3/13/2017,1
